"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality"
6.3;0.3;0.34;1.6;0.049;14;132;0.994;3.3;0.49;9.5;6
7.2;0.23;0.32;8.5;0.058;47;186;0.9956;3.19;0.4;9.9;6
8.1;0.28;0.4;6.9;0.05;30;97;0.9951;3.26;0.44;10.1;6
6.2;0.32;0.16;7;0.045;30;136;0.9949;3.18;0.47;9.6;6
7;0.27;0.36;20.7;0.045;45;170;1.001;3;0.45;8.8;6
6.3;0.3;0.34;1.6;0.049;14;132;0.994;3.3;0.49;9.5;6
8.1;0.22;0.43;1.5;0.044;28;129;0.9938;3.22;0.45;11;6
8.6;0.23;0.4;4.2;0.035;17;109;0.9947;3.14;0.53;9.7;5
6.2;0.66;0.48;1.2;0.029;29;75;0.9892;3.33;0.39;12.8;8
6.2;0.66;0.48;1.2;0.029;29;75;0.9892;3.33;0.39;12.8;8
6.6;0.27;0.41;1.3;0.052;16;142;0.9951;3.42;0.47;10;6
7;0.25;0.32;9;0.046;56;245;0.9955;3.25;0.5;10.4;6
7.4;0.27;0.48;1.1;0.047;17;132;0.9914;3.19;0.49;11.6;6
7.4;0.25;0.36;2.05;0.05;31;100;0.992;3.19;0.44;10.8;6
7.3;0.28;0.43;1.7;0.08;21;123;0.9905;3.19;0.42;12.8;5
6.5;0.39;0.23;5.4;0.051;25;149;0.9934;3.24;0.35;10;5
7.4;0.18;0.31;1.4;0.058;38;167;0.9931;3.16;0.53;10;7
7;0.31;0.26;7.4;0.069;28;160;0.9954;3.13;0.46;9.8;6
6.8;0.2;0.59;0.9;0.147;38;132;0.993;3.05;0.38;9.1;6
6.9;0.25;0.35;1.3;0.039;29;191;0.9908;3.13;0.52;11;6
6;0.19;0.26;12.4;0.048;50;147;0.9972;3.3;0.36;8.9;6
6.2;0.27;0.43;7.8;0.056;48;244;0.9956;3.1;0.51;9;6
6;0.27;0.28;4.8;0.063;31;201;0.9964;3.69;0.71;10;5
7.4;0.18;0.3;8.8;0.064;26;103;0.9961;2.94;0.56;9.3;5
7.1;0.2;0.34;16;0.05;51;166;0.9985;3.21;0.6;9.2;6
7.3;0.22;0.3;8.2;0.047;42;207;0.9966;3.33;0.46;9.5;6
7.1;0.44;0.62;11.8;0.044;52;152;0.9975;3.12;0.46;8.7;6
6.9;0.24;0.33;1.7;0.035;47;136;0.99;3.26;0.4;12.6;7
9.8;0.36;0.46;10.5;0.038;4;83;0.9956;2.89;0.3;10.1;4
7.1;0.12;0.32;9.6;0.054;64;162;0.9962;3.4;0.41;9.4;5
7.4;0.25;0.37;13.5;0.06;52;192;0.9975;3;0.44;9.1;5
7.1;0.23;0.35;16.5;0.04;60;171;0.999;3.16;0.59;9.1;6
7.2;0.27;0.46;18.75;0.052;45;255;1;3.04;0.52;8.9;5
7.2;0.31;0.5;13.3;0.056;68;195;0.9982;3.01;0.47;9.2;5
5.5;0.485;0;1.5;0.065;8;103;0.994;3.63;0.4;9.7;4
7;0.14;0.4;1.7;0.035;16;85;0.9911;3.19;0.42;11.8;6
5.9;0.36;0.04;5.7;0.046;21;87;0.9934;3.22;0.51;10.2;5
6.9;0.19;0.28;5;0.058;14;146;0.9952;3.29;0.36;9.1;6
6.4;0.13;0.47;1.6;0.092;40;158;0.9928;3.21;0.36;9.8;6
6.5;0.24;0.32;7.6;0.038;48;203;0.9958;3.45;0.54;9.7;7
6.1;0.3;0.56;2.7;0.046;46;184;0.9924;3.31;0.57;10.9;6
6.8;0.27;0.22;8.1;0.034;55;203;0.9961;3.19;0.52;8.9;5
7.1;0.37;0.67;10.5;0.045;49;155;0.9975;3.16;0.44;8.7;5
6.8;0.19;0.36;1.9;0.035;30;96;0.9917;3.15;0.54;10.8;7
7.9;0.21;0.4;1.2;0.039;38;107;0.992;3.21;0.54;10.8;6
